imprint;Impressum
News;Nachrichten
by %1$s;von %1$s
Welcome!;Willkommen!
Search;Suche
logged in as %1$s;angemeldet: %1$s
logout;abmelden
open editor;Editor öffnen
home;Start
my account;Mein Konto
admin;Administration
archive;Archiv
about;Über loomp
feedback;Feedback


Welcome Home!;Benutzer-Übersicht
Create a new mashup;Neues Mashup erstellen
Open editor;Editor starten
My mashups;Meine Mashups
view;anzeigen
edit;bearbeiten
Really delete Mashup %1$s?;Mashup %1$s wirklich löschen?
delete;löschen
Author: %1$s;Ersteller: %1$s
